,Neg1rep1,Neg1rep2,Neg1rep3,Nov_VK1rep1,Nov_VK1rep2,Nov_VK1rep3,Nov_VK3rep1,Nov_VK3rep2,Nov_VK3rep3,Nov_VK5rep1,Nov_VK5rep2,Nov_VK5rep3,Nov_unenriched1rep1,Nov_unenriched1rep2,Nov_unenriched1rep3,Nov_unenriched2rep1,Nov_unenriched2rep2,Nov_unenriched2rep3,Nov_unenriched3rep1,Nov_unenriched3rep2,Nov_unenriched3rep3
57644708,6,6,6,29,28,27,15,14,12,18,13,17,35,30,30,26,29,32,28,25,30
57657918,13,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57658806,7,8,7,29,31,18,26,22,24,27,24,27,54,58,55,60,55,54,56,52,55
57659833,1,1,2,6,4,2,5,4,5,8,6,4,6,6,5,6,6,5,5,4,4
57661098,0,0,0,0,3,3,0,0,0,0,0,0,11,6,6,6,6,7,5,4,2
57661631,0,0,0,4,3,6,3,4,4,4,4,4,10,10,9,8,6,6,8,9,7
57666448,4,3,3,21,19,22,17,15,18,16,15,15,19,17,16,17,17,17,20,16,18
57677613,0,0,0,2,2,1,3,3,2,1,1,0,4,5,4,4,2,0,3,2,2
57678759,0,0,0,1,2,3,0,1,0,0,0,0,6,3,4,3,4,3,2,4,2
57681464,25,25,22,65,52,59,51,44,47,45,36,41,92,90,95,94,85,78,82,84,87
57684105,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,6,3,1,6,4,3
57696082,0,0,0,7,6,3,4,6,5,5,5,4,6,7,4,5,6,5,6,6,6
57696478,0,0,0,5,6,1,0,0,0,0,0,0,6,8,6,4,5,8,4,5,4
57696999,4,4,4,6,1,6,6,7,6,6,6,7,6,10,9,4,8,8,6,7,9
57699664,0,0,0,4,4,3,6,5,5,0,4,0,5,4,5,5,2,4,5,4,2
57700816,0,0,0,0,2,2,3,6,3,4,6,7,14,15,12,14,10,12,12,11,10
57725612,5,5,5,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57730515,0,0,0,11,12,10,6,8,7,5,4,6,9,12,11,11,7,11,8,10,9
57738288,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,2,2,3,4,3,4
57741843,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,11,11,9,7,9,9
57751592,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,2,3,4,3,2
57762264,0,0,0,0,0,0,0,0,0,0,0,0,17,14,15,14,16,15,13,14,14
57769961,8,13,15,17,17,16,14,12,13,11,10,12,28,30,23,28,31,30,33,25,30
57770180,0,0,0,2,4,4,5,7,4,8,10,9,6,6,7,7,6,6,6,7,4
57772040,0,0,0,5,0,2,0,0,0,0,0,0,4,4,4,6,5,4,4,6,4
57780184,0,0,0,15,13,12,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0
57794061,1,3,0,12,13,11,9,8,9,12,10,9,17,16,13,15,16,16,14,13,12
57798810,0,0,0,4,0,1,0,0,0,0,0,0,4,4,4,0,4,4,2,2,4
57799436,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,1,3,3,4,4,4
57819723,3,3,3,10,4,5,5,4,3,5,4,4,5,7,6,7,7,5,7,10,7
57821908,0,0,0,10,9,7,0,1,2,2,2,3,22,25,26,29,26,21,32,28,25
57822781,0,0,0,4,4,3,5,4,4,2,4,2,4,4,4,4,4,4,4,3,4
57824414,15,13,14,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57842829,0,0,0,2,2,2,4,4,4,4,0,0,2,1,0,2,3,1,2,0,1
57845968,2,2,2,2,2,2,0,2,0,0,0,0,3,4,3,5,5,2,3,2,4
57848336,0,0,0,5,0,6,0,0,0,4,4,5,17,16,16,14,16,12,19,19,17
57849439,0,0,0,4,4,4,2,2,2,0,0,0,4,6,7,6,6,4,4,6,4
57858569,0,0,0,8,9,11,6,5,5,3,0,4,13,16,13,15,15,13,9,14,16
57860195,0,0,0,6,6,5,6,0,4,6,6,6,3,3,1,4,0,0,3,2,0
57860899,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,4,4,4,4,5
57861457,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,4,4,4,4,2
57863964,2,0,0,6,4,5,4,7,8,5,7,9,4,4,5,4,3,3,2,2,6
57864935,1,0,2,6,8,8,5,4,5,4,3,3,8,9,8,9,8,7,7,9,7
57868542,0,0,0,2,2,4,6,3,6,2,2,3,0,7,6,6,7,5,6,6,5
57876845,3,1,3,31,29,29,37,33,34,30,29,29,36,34,31,33,34,37,33,33,31
57905147,0,0,0,5,8,8,0,0,0,6,6,4,10,7,6,8,9,8,7,6,10
57927267,0,0,0,3,5,6,2,2,2,1,1,2,4,5,4,2,6,4,4,6,6
57928152,0,0,0,4,2,2,4,4,4,4,4,4,6,10,10,10,7,8,12,9,8
57929328,8,8,8,0,0,0,0,0,0,0,0,0,9,12,9,8,8,8,10,10,7
57932979,14,12,16,9,8,10,4,0,5,8,9,9,14,9,11,12,12,13,14,12,13
57933777,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,7,8,10,7,10
57948307,0,0,0,6,9,9,13,7,13,9,10,11,9,6,4,9,7,7,8,8,5
57952413,4,6,4,6,6,6,3,3,4,5,5,6,4,7,3,3,3,3,4,3,4
57957144,7,6,4,3,3,2,0,0,0,6,8,7,0,2,2,3,1,4,2,4,4
57960039,0,0,0,17,10,19,0,0,0,5,4,0,14,11,7,12,8,9,10,14,8
57977537,3,3,2,5,4,4,6,6,6,6,6,6,9,6,7,9,4,6,6,5,6
57996133,0,0,0,8,10,11,2,4,1,3,3,2,4,5,6,4,4,6,4,6,5
57998125,0,0,0,10,13,10,11,10,9,3,2,2,19,13,13,16,17,14,10,13,17
57999348,0,0,0,8,10,6,4,6,10,3,0,3,19,19,15,20,17,18,18,17,16
58009379,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,4,3,6,4,2
58031849,0,0,0,6,4,6,3,4,4,5,4,3,2,2,2,2,4,2,4,4,4
58033748,9,9,9,12,12,12,12,13,14,12,10,13,16,17,19,16,16,19,17,18,17
58041320,0,0,0,4,5,2,6,6,5,5,5,4,8,2,2,5,5,1,3,2,3
58043383,6,3,5,17,21,18,17,18,21,21,21,21,30,24,26,26,23,25,22,28,25
58053641,0,0,0,8,5,4,4,5,5,5,4,4,4,5,6,6,4,6,5,4,4
58060917,1,0,0,7,2,3,0,0,0,0,0,0,15,21,30,27,29,23,30,27,30
58064589,4,4,4,7,7,5,7,6,7,6,8,8,12,10,12,12,12,13,11,14,14
58064839,0,0,0,5,3,5,5,5,4,4,4,4,14,12,12,12,14,13,10,12,12
58080492,0,0,0,4,4,4,2,2,2,0,0,0,4,6,7,4,4,4,4,4,4
58086102,0,0,0,4,4,5,0,0,2,0,2,2,3,2,2,3,2,2,3,3,2
58098536,0,0,0,4,7,5,3,4,0,3,2,0,4,4,0,1,5,3,0,0,3
58108453,0,0,0,4,2,4,0,0,2,0,0,0,4,0,3,2,2,5,0,1,1
58120150,0,0,0,6,5,5,8,8,10,9,9,9,8,8,7,11,7,8,6,8,6
58130479,2,2,2,6,4,6,6,5,5,4,3,2,4,8,9,6,4,6,6,6,6
58132764,1,0,0,4,1,3,7,4,4,8,4,7,29,21,27,24,22,24,24,24,25
58137971,0,1,0,9,9,11,8,9,9,11,10,9,4,7,7,6,6,6,8,5,7
58137973,3,3,4,5,4,5,1,4,1,4,4,4,6,5,4,5,4,6,4,5,5
58141069,0,0,0,0,3,2,0,0,0,0,0,0,5,4,3,4,4,4,1,2,0
58141185,2,3,2,4,3,5,6,6,5,3,4,4,5,8,8,7,6,6,5,6,7
58143245,4,4,3,18,23,24,38,35,37,36,37,36,49,48,45,57,54,50,53,54,55
58151392,0,0,0,32,29,28,18,20,21,20,19,19,38,32,30,30,31,33,36,32,32
58163687,0,0,0,10,9,8,10,9,10,7,8,7,0,0,0,1,1,0,0,0,0
58170004,0,0,0,23,19,14,21,21,18,11,9,10,29,31,32,30,28,31,23,24,25
58180614,0,0,0,6,0,4,0,0,0,0,0,0,7,8,7,7,6,5,6,5,5
58181147,0,0,0,3,3,4,3,2,3,3,0,1,8,8,6,5,6,7,5,4,6
58191158,0,1,1,7,6,2,3,2,4,4,1,3,10,10,11,10,8,9,7,8,10
58194975,11,9,8,68,59,61,50,47,56,42,36,39,108,109,94,102,104,93,105,95,96
58200813,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,4,4,2,5,5,5
