"","unenriched1","unenriched2","unenriched3","vk1","vk2","vk3"
"62986062",5.40610540212477,5.36478040979593,5.45264841467928,4.452463994667,4.452463994667,4.452463994667
"62988075",5.2357079075146,5.10285030493437,5.01919761007174,5.02750267404598,4.452463994667,4.452463994667
"62990586",6.95311348027908,6.85723094872908,6.91381924159436,6.73123820308531,6.62164821893049,6.88569023929244
"62992668",5.27296027268734,5.29904996773001,5.39029982275319,5.39550366870913,4.90847238607963,4.452463994667
"62992834",5.71468472648441,5.72283746893598,5.73524198070581,5.8187270257022,5.81286958532166,5.68501366505572
"62996398",5.95014969187072,5.96905947723142,6.09274082504694,6.17821158807264,6.31613119286352,6.26311819742021
"62997398",5.2357079075146,5.22708536317878,5.35727924406825,4.452463994667,5.09472828157597,4.99927478377758
"62997598",7.22596641798075,7.09388204834212,7.19582188430347,6.86205276714483,6.58720274559593,6.42554562136574
"62997742",5.30843054255703,5.29904996773001,5.32284028766996,4.452463994667,4.452463994667,4.452463994667
"63001609",5.43623873741396,5.26394812488222,5.20901667448505,4.86041423779949,4.452463994667,4.452463994667
"63006542",5.83886927863404,5.96905947723142,5.93762538568666,6.3407478867383,6.37929823626928,6.63583751563193
"63006563",5.46534598635674,5.39572376869165,5.42204863831703,4.452463994667,4.452463994667,4.452463994667
"63007072",5.27296027268734,5.18819504223134,5.20901667448505,5.15446492876417,4.452463994667,4.452463994667
"63010020",5.40610540212477,5.22708536317878,5.35727924406825,5.70692365336152,5.63093878289922,5.33684449244295
"63019677",5.00965833269666,5.05532090626485,4.96001009393417,5.64606184019643,4.452463994667,4.452463994667
"63020518",5.27296027268734,5.22708536317878,5.51080179279801,4.452463994667,4.452463994667,4.452463994667
"63020538",6.72876073332399,6.74413625625071,6.68338702266582,6.35755332547902,5.09472828157597,5.43753817893939
"63020830",5.19640367159058,5.33260325074737,5.20901667448505,5.47449959599699,5.74393162703682,5.78856344343655
"63032743",5.59817719238304,5.56105344081932,5.64183400711104,6.25312550016853,5.23592320396227,5.08263126800192
"63032818",9.20591239629736,9.14948319784277,9.26332504825412,8.43998646162358,8.2823304714906,8.22376253669214
"63035046",5.11014082255578,5.22708536317878,5.20901667448505,5.64606184019643,4.452463994667,4.452463994667
"63035346",5.59817719238304,5.53553687910584,5.53852134758802,5.26048298892699,4.90847238607963,5.48371027614397
"63035382",5.54732825770258,5.65674341374765,5.56542882298292,4.452463994667,4.77557883324156,4.7694206114747
"63035426",5.75774405993142,5.63369681533704,5.68962585537919,5.26048298892699,4.452463994667,4.452463994667
"63035489",5.00965833269666,5.05532090626485,4.89257348637571,5.58116301019825,4.452463994667,4.452463994667
"63036168",5.46534598635674,5.48225490642097,5.56542882298292,5.61415962887312,5.00981331571303,4.452463994667
"63039324",5.27296027268734,5.22708536317878,4.452463994667,5.67695761933268,4.452463994667,4.452463994667
"63039326",5.79908550783433,5.78490334709946,5.82083787137137,5.61415962887312,5.93870958207747,5.82090895599255
"63041915",5.52082005858685,5.56105344081932,5.66601824208482,5.26048298892699,4.452463994667,4.452463994667
"63044103",5.30843054255703,5.29904996773001,5.24895566539065,4.452463994667,4.452463994667,4.452463994667
"63045109",6.48130606150603,6.57997801890907,6.64250066119174,5.39550366870913,4.452463994667,4.452463994667
"63045656",5.30843054255703,5.39572376869165,5.32284028766996,4.95127692161617,4.452463994667,4.89981599993633
"63046604",5.34233358072648,5.14693445624343,5.20901667448505,5.09433401034707,4.452463994667,4.452463994667
"63051771",5.40610540212477,5.33260325074737,5.35727924406825,5.35301848990926,4.452463994667,5.2212788317339
"63056789",5.57309695203979,5.63369681533704,5.71269032404376,5.54697022514142,4.90847238607963,4.452463994667
"63063318",5.06209468910362,5.22708536317878,5.12134525303936,4.452463994667,4.452463994667,4.452463994667
"63067512",5.57309695203979,5.53553687910584,5.66601824208482,5.39550366870913,4.452463994667,4.452463994667
"63075437",5.06209468910362,5.18819504223134,5.20901667448505,5.39550366870913,5.35356317389351,5.33684449244295
"63076221",5.00965833269666,5.10285030493437,5.12134525303936,4.452463994667,4.452463994667,4.452463994667
"63078247",6.78397209873371,6.75318471702886,6.81728608258826,5.87048148925815,6.49686037854385,6.12543164968271
"63078357",8.10935696089442,7.95848658731644,7.97339563072613,6.55785223201952,5.16909149392295,5.33684449244295
"63092360",6.173900011917,6.03495700608007,6.06003161091517,5.43591421828335,5.23592320396227,4.452463994667
"63094001",5.46534598635674,5.48225490642097,5.56542882298292,5.61415962887312,5.00981331571303,4.452463994667
"63094344",5.52082005858685,5.53553687910584,5.51080179279801,5.64606184019643,5.77896807719405,5.75519097553034
"63095954",5.34233358072648,5.29904996773001,5.39029982275319,5.15446492876417,5.63093878289922,5.52759187329789
"63096400",6.32427697673423,6.27987006263697,6.35275203964583,6.45392477744899,6.22655788494535,6.56947215256418
"63101170",5.40610540212477,5.50928973054483,5.53852134758802,5.15446492876417,4.452463994667,4.452463994667
"63102330",6.68092624836168,6.69794335606917,6.69341312766749,5.54697022514142,4.90847238607963,4.452463994667
"63105175",5.77861889073504,5.63369681533704,5.71269032404376,5.70692365336152,6.02453760526085,5.99705060157926
"63109861",6.05136200840399,5.84350123489375,6.04332575084298,5.43591421828335,5.54762257329094,5.52759187329789
"63114530",5.34233358072648,5.39572376869165,5.24895566539065,5.43591421828335,5.54762257329094,5.52759187329789
"63115816",5.27296027268734,5.29904996773001,5.39029982275319,5.39550366870913,4.90847238607963,4.452463994667
"63116219",5.79908550783433,5.82432469841594,5.82083787137137,5.7360272830804,6.02453760526085,6.07576484299907
"63116414",5.40610540212477,5.56105344081932,5.51080179279801,6.46929747834073,6.02453760526085,6.42554562136574
"63119531",6.08321337485267,6.00248383185139,5.9917035440951,6.05623233155822,4.452463994667,4.452463994667
"63120114",5.19640367159058,5.05532090626485,5.20901667448505,4.452463994667,4.452463994667,4.452463994667
"63121220",5.27296027268734,5.10285030493437,4.89257348637571,4.452463994667,4.452463994667,4.452463994667
"63121908",5.06209468910362,5.05532090626485,5.07250599935305,5.47449959599699,5.23592320396227,5.15564552958313
"63124726",5.2357079075146,5.36478040979593,5.39029982275319,5.15446492876417,5.23592320396227,5.38873057887009
"63129880",6.60057699797716,6.43878035135688,6.52297698641676,4.95127692161617,4.452463994667,4.452463994667
"63132026",5.06209468910362,5.05532090626485,5.07250599935305,5.39550366870913,4.452463994667,4.99927478377758
"63132167",5.46534598635674,5.33260325074737,5.45264841467928,4.452463994667,5.5901953712356,5.96956293124526
"63132765",5.98489641943866,5.80479746547787,5.91900356497164,5.79187883973454,5.16909149392295,4.452463994667
"63132923",7.69675003799792,7.51370331883884,7.56824478155587,6.48448726861673,5.23592320396227,5.48371027614397
"63133221",6.37471168158772,6.24011666856967,6.37851772007429,5.26048298892699,4.452463994667,5.64799920529108
"63144027",5.40610540212477,5.45436736377583,5.51080179279801,5.67695761933268,5.16909149392295,5.38873057887009
"63146010",5.59817719238304,5.61009095821579,5.77891481106417,5.43591421828335,5.45602357439309,5.08263126800192
"63146542",4.452463994667,4.452463994667,4.452463994667,5.51146247430664,5.00981331571303,4.452463994667
